kernel,dse_file,dse_best_split,dse_p_agg_cycles,dse_sched_est_cycles,dse_absolute_cgra_lb,dse_selection_class,dse_notes
autocorrelation,tests/app/autocorrelation/autocorrelation_loom_dse.md,lag:P1U2 i:P1U1,240,352,227,resource-bound,"saturation knee; compute-bound, pure unroll is the fewest-iterator representative of a tie"
axpy,tests/app/axpy/axpy_loom_dse.md,i:P1U64,16,24,15,resource-bound,saturation knee; unroll favored by vector coalescing and row-control amortization
batchnorm,tests/app/batchnorm/batchnorm_loom_dse.md,c:P1U1 h:P1U8 w:P1U8 order=c>h>w jam=none,32,44,29,resource-bound,"2R/2W family knee; source order keeps w contiguous; direct memory uses zero resident bytes and zero scratchpad-port cycles"
binary_search,tests/app/binary_search/binary_search_loom_dse.md,t:P1U4 probe:P1U1,54,54,27,latency-bound,"best enumerated fallback; serial probe CP dominates, and the power-of-two sweep still needs two waves"
bisection_step,tests/app/bisection_step/bisection_step_loom_dse.md,i:P1U32,8,12,8,resource-bound,saturation knee; unroll coalesces all six streams and amortizes loop control
bit_reverse,tests/app/bit_reverse/bit_reverse_loom_dse.md,i:P1U16 bit:P1U1,1376,1520,1366,resource-bound,"saturation knee; outer unroll coalesces boundary traffic while the bit recurrence remains serial"
bitonic_stage,tests/app/bitonic_stage/bitonic_stage_loom_dse.md,i:P1U8,11,11,11,latency-bound,full-fixture exposure; gated compare-swap CP dominates and no resource knee is reached
bitonic_stage-modified,tests/app/bitonic_stage-modified/bitonic_stage-modified_loom_dse.md,i:P1U1,31,31,31,latency-bound,serial in-place recurrence; equivalent unroll labels use the canonical representative
bitonic_stage-tweak,tests/app/bitonic_stage-tweak/bitonic_stage-tweak_loom_dse.md,i:P1U1,17,17,17,latency-bound,sequential read-modify-write recurrence; no legal spatial saturation-knee search
clz,tests/app/clz/clz_loom_dse.md,i:P1U64,584,584,584,resource-bound,saturation knee; unroll amortizes outer control and reaches the load/store floor at exposure 64
col2im,tests/app/col2im/col2im_loom_dse.md,c:P1U1 kh:P1U1,357,357,355,resource-bound,smallest saturation-knee representative; compute-bound with equivalent fully consumed kh factorizations
conv2d,tests/app/conv2d/conv2d_loom_dse.md,co:P1U4 oh:P1U4 ow:P1U4 tap:P1U1 order=co>oh>ow>tap jam=share-all,265,268,256,resource-bound,"2R/2W family knee; explicit share-all; 1200 B whole resident input/weight set; scratchpad port lb/s=256/256; direct fallback below 1200 B"
crc32,tests/app/crc32/crc32_loom_dse.md,i:P1U1,7175,7175,7175,latency-bound,serial optimized table-lookup CRC recurrence; equivalent labels use the canonical P1U1 DAG
edge_update,tests/app/edge_update/edge_update_loom_dse.md,kernel:P1U1,6,6,6,latency-bound,only legal representative; source has no parallel or unroll pragma level to sweep
fft_butterfly,tests/app/fft_butterfly/fft_butterfly_loom_dse.md,copy_i:P1U16,71,75,71,resource-bound,phase-composed best estimate; full copy unroll reaches the floor while fixed ordered FFT stages dominate
gather,tests/app/gather/gather_loom_dse.md,i:P1U32,128,192,107,resource-bound,saturation knee; indirect source loads remain scalar while unroll coalesces boundary streams and amortizes control
gauss_seidel_step,tests/app/gauss_seidel_step/gauss_seidel_step_loom_dse.md,i:P1U1,198,198,198,latency-bound,canonical serial recurrence; in-place row dependence prevents independent spatial exposure
gemv,tests/app/gemv/gemv_loom_dse.md,i:P1U4 j:P1U1 order=i>j jam=i-j-share-x,94,150,94,resource-bound,"2R/2W family knee for main.cpp M=32,N=48; explicit i-j-share-x; x resident at 192 B; scratchpad port lb/s=54/54; direct fallback below 192 B"
hist_bin,tests/app/hist_bin/hist_bin_loom_dse.md,zero_i:P1U8,194,263,193,resource-bound,phase-composed best estimate; one eight-bin wave plus a two-bin tail precedes the fixed scatter region
interpolate_linear,tests/app/interpolate_linear/interpolate_linear_loom_dse.md,q:P1U64,289,289,289,latency-bound,best-estimate fallback; full query unroll reaches the serial-search CP floor with the lowest traffic
tridiag_solve,tests/app/tridiag_solve/tridiag_solve_loom_dse.md,i:P1U1,194,194,194,latency-bound,"sequential recurrence; p forced to 1, unroll does not reduce the carried CP"
vecsum,tests/app/vecsum/vecsum_loom_dse.md,i:P1U1,11,16,11,latency-bound,fully-consumed reduction; P/U-symmetric and CP-bound
